equipo, numero de partidos, fase lograda, goles a favor, goles en contra, diferencia de goles, porterias a cero, valor de equipo, coeficiente uefa
CIT, 12, 4, 29, 16, 13, 4, 1100, 27
PSG, 8, 2, 15, 11, 4, 2, 1000, 19
LEI, 6, 1, 15, 14, 1, 1, 490, 17
BRU, 6, 1, 6, 20, -14, 0, 160, 7
LIV, 13, 5, 30, 14, 16, 4, 1060, 33
ATM, 10, 3, 9, 10, -1, 3, 837, 19
POR, 6, 1, 4, 11, -7, 2, 278, 10
ACM, 6, 1, 6, 9, -3, 1, 380, 7
AJA, 8, 2, 22, 8, 14, 2, 320, 22
DOR, 6, 1, 10, 11, -1, 2, 482, 10
SPO, 8, 2, 14, 17, -3, 2, 270, 16
BES, 6, 1, 3, 19, -16, 0, 240, 4
MAD, 13, 6, 31, 12, 19, 5, 1030, 30
SHE, 6, 1, 7, 11, -4, 1, 102, 8
SHA, 6, 1, 2, 12, -10, 1, 210, 6
INT, 8, 2, 9, 7, 2, 3, 790, 18
BAY, 10, 3, 31, 7, 24, 4, 1050, 26
BEN, 10, 3, 14, 17, -3, 5, 378, 20
BAR, 6, 1, 3, 9, -6, 3, 790, 15
DIN, 6, 1, 2, 11, -9, 1, 130, 5
MAN, 8, 2, 12, 10, -2, 1, 796, 18
VIL, 12, 4, 20, 16, 4, 3, 475, 24
ATA, 6, 1, 12, 13, -1, 1, 315, 16
YOU, 6, 1, 7, 12, -5, 0, 95, 8
LIL, 8, 2, 8, 8, 0, 3, 261, 17
SAL, 8, 2, 10, 14, -4, 1, 200, 17
WOL, 6, 1, 5, 5, 0, 1, 176, 8
SEV, 6, 1, 5, 10, -5, 2, 420, 12
JUV, 8, 2, 11, 10, 1, 4, 590, 20
CHE, 10, 3, 21, 10, 11, 5, 785, 25
ZEN, 6, 1, 10, 10, 0, 1, 267, 8
MAL, 6, 1, 1, 14, -13, 0, 108, 5
